Key,Japanese,English,Chinese,Korean,French,German,Spanish
common.appName,Voice2Minutes,Voice2Minutes,Voice2Minutes,Voice2Minutes,Voice2Minutes,Voice2Minutes,Voice2Minutes
common.loading,読み込み中...,Loading...,加载中...,로드 중...,Chargement...,Laden...,Cargando...
common.error,エラー,Error,错误,오류,Erreur,Fehler,Error
common.success,成功,Success,成功,성공,Réussite,Erfolg,Aceptar
common.cancel,キャンセル,Cancel,取消,취소,Annuler,Abbrechen,Cancelar
common.save,保存,Save,保存,저장,Enregistrer,Speichern,Guardar
common.saveChanges,変更を保存,Save changes,保存更改,변경 사항 저장,Enregistrer les modifications,Änderungen speichern,Guardar cambios
common.copy,テキストをコピー,Copy text,复制文本,텍스트 복사,Copier le texte,Text kopieren,Copiar texto
common.export,Wordにエクスポート,Export to Word,导出到Word,Word로 내보내기,Exporter vers Word,In Word exportieren,Exportar a Word
common.clear,現在の記録をクリア,Clear current record,清除当前记录,현재 기록 지우기,Effacer l'enregistrement actuel,Aktuellen Datensatz löschen,Borrar registro actual
common.start,開始,Start,开始,시작,Démarrer,Start,Iniciar
common.stop,停止,Stop,停止,중지,Arrêter,Stopp,Detener
common.upload,アップロード,Upload,上传,업로드,Télécharger,Hochladen,Subir
common.download,ダウンロード,Download,下载,다운로드,Télécharger,Herunterladen,Descargar
common.timeUnits.hours,時間,Hours,小时,시간,Heures,Stunden,Horas
common.timeUnits.minutes,分,Minutes,分钟,분,Minutes,Minuten,Minutos
common.timeUnits.seconds,秒,Seconds,秒,초,Secondes,Sekunden,Segundos
common.timeUnits.hour,時間,Hours,小时,시간,Heures,Stunden,Horas
common.timeUnits.minute,分,Minutes,分钟,분,Minutes,Minuten,Minutos
common.timeUnits.second,秒,Seconds,秒,초,Secondes,Sekunden,Segundos
navigation.audioToText,音声文字起こし,Voice transcription,语音转录,음성 전사,Transcription vocale,Sprach-Transkription,Transcripción de voz
navigation.meetingMinutes,会議議事録,Meeting minutes,会议记录,회의록,Compte rendu de réunion,Besprechungsprotokoll,Actas de reuniones
navigation.usage,使用量統計,Usage statistics,使用统计,사용 통계,Statistiques d'utilisation,Nutzungsstatistik,Estadísticas de uso
navigation.pricing,料金,Fees,费用,수수료,Frais,Gebühren,Tarifas
navigation.myPage,マイページ,My Page,我的页面,내 페이지,Ma page,Meine Seite,Mi página
theme.light,ライトテーマ,Light theme,浅色主题,밝은 테마,Thème clair,Helles Design,Tema claro
theme.dark,ダークテーマ,Dark theme,深色主题,어두운 테마,Thème sombre,Dunkles Design,Tema oscuro
theme.system,システム設定,System settings,系统设置,시스템 설정,Paramètres système,Systemeinstellungen,Configuración del sistema
theme.toggleLabel,テーマ切り替え,Theme switching,主题切换,테마 변경,Changement de thème,Design wechseln,Cambio de tema
theme.current,現在のテーマ：{{theme}},Current theme: {{theme}},当前主题：{{theme}},현재 테마: {{theme}},Thème actuel : {{theme}},Aktuelles Design: {{theme}},Tema actual: {{theme}}
theme.currentlyUsing,現在使用中,Currently in use,当前使用中,현재 사용 중,Actuellement utilisé,Derzeit verwendet,Actualmente en uso
audioToText.title,音声文字起こし,Voice transcription,语音转录,음성 텍스트 변환,Transcription vocale,Sprach-Transkription,Transcripción de voz
audioToText.subtitle,音声録音を正確なテキスト文字起こしに変換します,Convert voice recordings into accurate text transcripts,将语音录音转换为准确的文本转录,음성 녹음을 정확한 텍스트로 변환합니다,Convertissez vos enregistrements vocaux en transcriptions textuelles précises,Wandeln Sie Sprachaufnahmen in präzise Texttranskripte um,Convierte grabaciones de voz en transcripciones de texto precisas
audioToText.uploadAudio,音声ファイルをアップロード,Upload voice file,上传语音文件,음성 파일 업로드,Télécharger un fichier vocal,Sprachdatei hochladen,Subir archivo de voz
audioToText.recordAudio,音声録音,Voice recording,语音录音,음성 녹음,Enregistrement vocal,Sprachaufnahme,Grabación de voz
audioToText.startTranscription,文字起こし開始,Start transcription,开始转录,변환 시작,Démarrer la transcription,Transkription starten,Iniciar transcripción
audioToText.taskCompleted,タスク完了！,Task complete!,任务完成！,작업 완료!,Tâche terminée !,Aufgabe abgeschlossen!,Tarea completada
audioToText.supportedFormats,対応形式：MP3、WAV、M4A、FLAC、OGG、MP4、MPEG、MPGA、WEBM,"Supported formats: MP3, WAV, M4A, FLAC, OGG, MP4, MPEG, MPGA, WEBM",支持格式：MP3、WAV、M4A、FLAC、OGG、MP4、MPEG、MPGA、WEBM,"지원 형식: MP3, WAV, M4A, FLAC, OGG, MP4, MPEG, MPGA, WEBM","Formats pris en charge : MP3, WAV, M4A, FLAC, OGG, MP4, MPEG, MPGA, WEBM","Unterstützte Formate: MP3, WAV, M4A, FLAC, OGG, MP4, MPEG, MPGA, WEBM","Formatos compatibles: MP3, WAV, M4A, FLAC, OGG, MP4, MPEG, MPGA, WEBM"
audioToText.recording,録音中...,Recording...,录音中...,녹음 중...,Enregistrement...,Aufnahme...,Grabando
audioToText.processing,音声を処理中...,Processing audio...,处理音频中...,오디오 처리 중...,Traitement audio...,Audio wird verarbeitet...,Procesando audio
audioToText.transcriptionComplete,文字起こしが正常に完了しました！,Transcription completed successfully!,转录成功完成！,변환이 성공적으로 완료되었습니다!,Transcription terminée avec succès !,Transkription erfolgreich abgeschlossen!,Transcripción completada con éxito
audioToText.error,文字起こし中にエラーが発生しました,An error occurred during transcription,转录过程中发生错误,전사 과정에서 오류가 발생했습니다,Une erreur s'est produite pendant la transcription,Bei der Transkription ist ein Fehler aufgetreten,Se ha producido un error durante la transcripción
audioToText.quickActions,クイックアクション,Quick Actions,快速操作,빠른 동작,Actions rapides,Schnellaktionen,Acciones rápidas
audioToText.fileUploaded,ファイルがアップロードされ、文字起こしの準備ができました,The file has been uploaded and is ready for transcription,文件已上传并准备好进行转录,파일이 업로드되었으며 전사 준비가 완료되었습니다,Le fichier a été téléchargé et est prêt pour la transcription,Die Datei wurde hochgeladen und kann transkribiert werden.,El archivo se ha subido y está listo para la transcripción
audioToText.usageInstructions,使用方法,How to use,如何使用,사용 방법,Comment utiliser,So,Cómo
audioToText.instructions.step1,音声ファイルをアップロードするか、ブラウザで直接録音してください,Upload an audio file or record directly in your browser,上传音频文件或直接在浏览器中录音,오디오 파일을 업로드하거나 브라우저에서 직접 녹음하세요,Téléchargez un fichier audio ou enregistrez directement dans votre navigateur,Laden Sie eine Audiodatei hoch oder nehmen Sie direkt in Ihrem Browser auf.,Sube un archivo de audio o graba directamente en tu navegador
audioToText.instructions.step2,「文字起こしを開始」をクリックして音声をテキストに変換します,Click “Start Transcription” to convert the audio to text,点击“开始转录”将音频转换为文本,“전사 시작”을 클릭하여 오디오를 텍스트로 변환하세요,Cliquez sur « Démarrer la transcription » pour convertir l'audio en texte,"Klicken Sie auf „Transkription starten“, um die Audiodatei in Text umzuwandeln.",Haz clic en «Iniciar transcripción» para convertir el audio en texto
audioToText.instructions.step3,文字起こし結果を確認してコピーしてください,Review the transcription results and copy them,查看转录结果并复制,전사 결과를 검토하고 복사하세요,Vérifiez les résultats de la transcription et copiez-les,Überprüfen Sie die Transkriptionsergebnisse und kopieren Sie sie.,Revisa los resultados de la transcripción y cópialos
audioToText.instructions.step4,文字起こし結果を確認し、必要に応じてエクスポートしてください,Review the transcription results and export them as needed,查看转录结果并按需导出,전사 결과를 검토하고 필요에 따라 수출하세요,Vérifiez les résultats de la transcription et exportez-les si nécessaire,Überprüfen Sie die Transkriptionsergebnisse und exportieren Sie sie nach Bedarf.,Revisa los resultados de la transcripción y expórtalos según sea necesario
audioToText.audioInputMethod,音声入力方式,Audio input method,音频输入方式,오디오 입력 방법,Méthode d'entrée audio,Audioeingabemethode,Método de entrada de audio
audioToText.dragDropText,クリックまたは音声ファイルをここにドラッグ,Click or drag an audio file here,点击或拖动音频文件至此,여기에 오디오 파일을 클릭하거나 드래그하세요,Cliquez ou faites glisser un fichier audio ici,Klicken Sie hier oder ziehen Sie eine Audiodatei hierher.,Haz clic o arrastra un archivo de audio aquí
audioToText.dragDropActiveText,ファイルをここにドロップ...,Drop your file here...,将文件拖放至此...,파일을 여기 드롭하세요...,Déposez votre fichier ici...,Legen Sie Ihre Datei hier ab...,Suelta tu archivo aquí...
audioToText.dividerOr,または,Or,或,또는,Ou,Oder,O
audioToText.liveRecording,リアルタイム録音,Real-time recording,实时录音,실시간 녹음,Enregistrement en temps réel,Echtzeit-Aufnahme,Grabación en tiempo real
audioToText.speaker,話者,Speaker,发言者,연사,Orateur,Sprecher,Locutor
audioToText.paymentNotice,支払いについて,Payment,支付,결제,Paiement,Zahlung,Pago
audioToText.fileProcessingError,音声ファイルの処理エラー,Audio file processing error,音频文件处理错误,오디오 파일 처리 오류,Erreur de traitement du fichier audio,Fehler bei der Verarbeitung der Audiodatei,Error al procesar el archivo de audio
audioToText.fileTruncated,使用制限により、ファイルは{{minutes}}分にカットされました,"Due to usage restrictions, the file has been cut to {{minutes}} minutes.",由于使用限制，文件已被截取为{{分钟}}分钟。,사용 제한으로 인해 파일이 {{분}} 분으로 잘렸습니다.,"En raison de restrictions d'utilisation, le fichier a été coupé à {{minutes}} minutes.",Aufgrund von Nutzungsbeschränkungen wurde die Datei auf {{Minuten}} Minuten gekürzt.,"Debido a restricciones de uso, el archivo se ha recortado a {{minutos}} minutos."
audioToText.quotaLowWarning,使用可能な時間がわずかです,Only a limited amount of time is available.,仅有有限时间可用。,사용 가능한 시간이 제한되어 있습니다.,Seul un temps limité est disponible.,Es steht nur eine begrenzte Zeit zur Verfügung.,Solo hay un tiempo limitado disponible.
